control_stratum,sampling_priority,loss,task_id,split,model,attack_family,K,sample_id,restart,step,p0_archived,p1_archived,A_sum_float64,p0_fp32,p1_fp32,B_sum_float32,B_sum_float64,abs_A_sum_error,abs_B32_sum_error,abs_B64_sum_error,original_checker_result,finite,in_range,class_alignment_valid,serialization_roundtrip_status,raw_artifact_identity_status,representation_C_status,classification,row_ordinal
checker_pass_minimum_abs_sum_error,895318601119407,cw,e53e1934609387a8aa1c795bea203ac47fcb21a4e51ca9f0a90eb332f09bdce6,44,BiLSTM-ERM,phys_penalty_pgd,50,801e6e566e32fdbd52169034bcd6492be4e509a4ac59328ed86c019f02f3f573,2,46,0.579877794,0.420122206,1.0,0.5798777937889099,0.4201222062110901,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,78739155
checker_pass_minimum_abs_sum_error,895932748377032,cw,1df47ee712acac0554ee5f8aa00bd46ff4c6d7e92f6e8887dbf63385142adf2e,46,BiLSTM-ERM,phys_penalty_pgd,50,b13e9ced71aed7f18393df51f07f16d592b90448541ebbdd7534c6d78ef1f6f5,3,9,0.585919797,0.414080203,1.0,0.5859197974205017,0.4140802025794983,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,97712892
checker_pass_minimum_abs_sum_error,896965224700454,cw,ec95168cef019d4b2bff1abe2dfbb0b631e166b5f343cb9280c7abb0e7a5c296,42,BiLSTM-ERM,phys_hybrid_pgd,50,ff9ee5fcabcbfd62c33a7ef8913ca82daa2aab647bad7424342315a2195484e5,2,13,0.580834568,0.419165432,1.0,0.5808345675468445,0.4191654324531555,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,56217940
checker_pass_minimum_abs_sum_error,899989492590168,cw,40a0fa16a3909fde86257be388ea37c22080ffbc69790fd11b78cec8d0484566,43,BiLSTM-ERM,phys_hybrid_pgd,50,229fc9878b87376263a2710d649aa2b85a842dbcc048d8e28dc959303799c0c3,4,15,0.549191594,0.450808406,1.0,0.5491915941238403,0.45080840587615967,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,67709313
checker_pass_minimum_abs_sum_error,900677540607823,cw,a2b76dc1e96e6c5a8674d68a1e081d70555fe71949fe5a2cc5a232845dba7e62,42,BiLSTM-ERM,phys_penalty_pgd,20,117b111c7569d50cdc5f5ddc7977e20f8ea6f43db3e34c075ce759033243185d,1,17,0.564934611,0.435065389,1.0,0.5649346113204956,0.4350653886795044,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,54005258
checker_pass_minimum_abs_sum_error,907482796923012,cw,dd2e33b8eec5d461d68877e7b543f1640293d2d99e76f38e518da4ed5919bc06,42,BiLSTM-ERM,norm_pgd,20,454d657e22b345bff014491eef1df71e2944530635acca51a119fe08923e7ecf,1,4,0.499525368,0.500474632,1.0,0.49952536821365356,0.5004746317863464,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,50947911
checker_pass_minimum_abs_sum_error,907487867605151,cw,f35aca54dda253ac8b93963c0cc55c2391296847ac1bbc69de8dda435581cf3a,42,CAT-AD,phys_penalty_pgd,50,884205b2622e6dcb05296406c0f4047106ab3b09bfd03dec872987cd49903d5a,4,35,0.577880919,0.422119081,1.0,0.5778809189796448,0.4221190810203552,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,60615249
checker_pass_minimum_abs_sum_error,909906529388711,cw,3661e4b3e65f6a59f73ae0985f48985530f40164890a58c42e2ff126199d0c2c,46,BiLSTM-ERM,phys_hybrid_pgd,50,9eebca12a9ce6ecb7ab5c6c61aed977de385331e3fc0f81bcf07510fc3ea6536,1,21,0.570712924,0.429287076,1.0,0.5707129240036011,0.4292870759963989,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,98436386
checker_pass_minimum_abs_sum_error,911048792620098,cw,6742b296d25faeb4ab1385b120b247c04b57fd0c2a784ba1414d3e6fbdc78599,44,BiLSTM-ERM,norm_pgd,20,b4199df8c637210a7148c7236411560c761cd160e7d6a6c4b8f3bda4b0f4e3e5,2,10,0.532415926,0.467584074,1.0,0.5324159264564514,0.4675840735435486,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,75007783
checker_pass_minimum_abs_sum_error,911054990326704,cw,9b9093e90e0706d5bc3e0d5a4395cbf71d35ddf8f2c1ba3427640e3e0a0851dd,44,BiLSTM-ERM,norm_pgd,50,42f5d17732c9a4a247d947986159db80af0f6b8e4bc2150bdf5d8018b7a1ebc5,0,22,0.519892216,0.480107784,1.0,0.5198922157287598,0.48010778427124023,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,75601841
